Name,Season,Hometown,#TimesPlayed,TwitterHandle,SeasonAge,Rank,Sex,ChallengeWins,VotesAgainst,DaysLasted,IdolsFound,IdolsPlayed,VotesVoided,BootAvoided,,,,,,,,,,,
"Steve ""Chicken"" Morris",China,"Marion, VA",1,0,47,16,M,0,3,5,0,0,0,0,,,,,,,,,,,
Sundra Oakley,Cook Islands,"Los Angeles, CA",1,0,31,4,F,10,6,38,0,0,0,0,,,,,,,,,,,
Susie Smith,Gabon,"Charles City, IA",1,1,47,2,F,10,7,39,0,0,0,0,,,,,,,,,,,
Sydney Wheeler,Tocantins,"Raleigh, NC",1,1,24,11,F,5,4,18,0,0,0,0,,,,,,,,,,,
Sylvia Kwan,Fiji,"Ross, CA",1,0,52,17,F,0,6,8,0,0,0,0,,,,,,,,,,,
"Tamara ""Taj"" Johnson-George",Tocantins,"Nashville, TN",1,1,37,4,F,5,7,37,1,0,0,0,,,,,,,,,,,
Terry Deitz,Panama,"Simsbury, CT",1,0,46,3,M,15,1,38,1,0,0,0,,,,,,,,,,,
Tina Scheer,Panama,"Hayward, WI",1,0,44,16,F,1,3,3,0,0,0,0,,,,,,,,,,,
Todd Herzog,China,"Pleasant Grove,UT",1,1,22,1,M,8,5,39,1,0,0,0,,,,,,,,,,,
Tom Westman,Heroes vs. Villains,"Sayville, NY",2,0,45,16,M,2,8,14,1,1,3,0,,,,,,,,,,,
Tracy Hughes-Wolf,Micronesia,"Fredericksburg,VA",1,0,43,12,F,3,7,20,0,0,0,0,,,,,,,,,,,
Tyson Apostol,Tocantins,"Lindon, UT",1,1,29,8,M,8,5,27,0,0,0,0,,,,,,,,,,,
Tyson Apostol,Heroes vs. Villains,"Lindon, UT",2,1,29,15,M,7,3,15,0,0,0,0,,,,,,,,,,,
"Virgilio ""Billy"" Garcia",Cook Islands,"New York, NY",1,0,36,19,M,1,4,6,0,0,0,0,,,,,,,,,,,
Yasmin Giles,Samoa,"Los Angeles, CA",1,0,33,16,F,4,8,11,0,0,0,0,,,,,,,,,,,
Yau-Man Chan,Fiji,"Martinez, CA",1,0,54,4,M,9,9,38,1,1,4,1,,,,,,,,,,,
Yau-Man Chan,Micronesia,"Martinez, CA",2,0,55,18,M,3,6,8,0,0,0,0,,,,,,,,,,,
Yul Kwon,Cook Islands,"San Mateo, CA",1,1,31,1,M,12,5,39,1,0,0,0,,,,,,,,,,,
